factor_id,near_id,weight,color,level
17,295,4119,#0066cc,第2層
17,296,2462,#0066cc,第2層
17,297,453,#0066cc,第2層
17,298,533,#0066cc,第2層
17,299,10281,#0066cc,第2層
17,300,19463,#0066cc,第2層
17,301,182,#0066cc,第2層
17,302,738,#0066cc,第2層
17,303,223,#0066cc,第2層
17,304,40,#0066cc,第2層
17,305,401,#0066cc,第2層
17,307,732,#0066cc,第2層
17,308,521,#0066cc,第2層
17,309,334,#0066cc,第2層
17,311,20203,#0066cc,第2層
17,312,91,#0066cc,第2層
17,313,72,#0066cc,第2層
17,314,62,#0066cc,第2層
17,315,53,#0066cc,第2層
17,316,94,#0066cc,第2層
17,317,186,#0066cc,第2層
17,318,163,#0066cc,第2層
17,319,191,#0066cc,第2層
17,320,408,#0066cc,第2層
17,321,51,#0066cc,第2層
17,322,339,#0066cc,第2層
17,323,97,#0066cc,第2層
17,324,147,#0066cc,第2層
17,325,194,#0066cc,第2層
17,326,1168,#0066cc,第2層
17,327,384,#0066cc,第2層
17,328,55,#0066cc,第2層
17,329,1170,#0066cc,第2層
17,330,11,#0066cc,第2層
17,332,85,#0066cc,第2層
17,333,39,#0066cc,第2層
17,334,4731,#0066cc,第2層
17,336,1201,#0066cc,第2層
17,337,1188,#0066cc,第2層
17,338,57,#0066cc,第2層
17,341,26,#0066cc,第2層
17,342,9,#0066cc,第2層
17,343,1,#0066cc,第2層
17,345,2,#0066cc,第2層
17,346,2,#0066cc,第2層
17,348,2,#0066cc,第2層
17,349,9,#0066cc,第2層
17,350,54,#0066cc,第2層
17,352,219,#0066cc,第2層
17,353,197,#0066cc,第2層
17,354,2170,#0066cc,第2層
17,357,437,#0066cc,第2層
17,358,7,#0066cc,第2層
17,361,8,#0066cc,第2層
17,362,7,#0066cc,第2層
17,363,124,#0066cc,第2層
17,365,113,#0066cc,第2層
17,366,26,#0066cc,第2層
17,367,22,#0066cc,第2層
17,368,4,#0066cc,第2層
17,370,1,#0066cc,第2層
17,373,25,#0066cc,第2層
17,374,5599,#0066cc,第2層
17,376,1,#0066cc,第2層
17,379,1,#0066cc,第2層
17,382,12,#0066cc,第2層
17,383,746,#0066cc,第2層
17,384,632,#0066cc,第2層
17,385,433,#0066cc,第2層
2,84,1,#699c4c,第1層
84,103,7,#0066cc,第2層
84,107,1,#0066cc,第2層
84,108,1,#0066cc,第2層
84,111,1,#0066cc,第2層
84,112,6,#0066cc,第2層
84,117,2,#0066cc,第2層
84,118,24,#0066cc,第2層
